('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765117 function calls (740712 primitive calls) in 2.025 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       40    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
       40    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
       39    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       39    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       39    0.000    0.000    0.152    0.004 response.py:1173(read_chunked)
       39    0.002    0.000    0.014    0.000 response.py:122(decompress)
       39    0.000    0.000    0.152    0.004 response.py:1044(stream)
       39    0.000    0.000    0.152    0.004 models.py:816(generate)
       38    0.000    0.000    0.001    0.000 functools.py:544(decorating_function)
       38    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    38/29    0.000    0.000    0.021    0.001 css_parser.py:732(parse_pseudo_open)
       38    0.000    0.000    0.014    0.000 response.py:469(_decode)
